開始,終了,タイプ,放送局,配信サイト,時間,期間
2022-04-06,2022-06-22,放送,AT-X,,水曜 21:00 - 21:30,2022年4月6日 - 6月22日
2022-04-06,2022-06-22,放送,TOKYO MX,,水曜 23:30 - 木曜 0:00,2022年4月6日 - 6月22日
2022-04-07,2022-06-23,放送,BS日テレ,,木曜 0:00 - 0:30（水曜深夜）,2022年4月7日 - 6月23日
2022-04-07,2022-06-23,放送,KBS京都,,木曜 0:30 - 1:00（水曜深夜）,2022年4月7日 - 6月23日
2022-04-07,2022-06-23,放送,サンテレビ,,木曜 0:30 - 1:00（水曜深夜）,2022年4月7日 - 6月23日
2022-04-06,,配信,,dアニメストア,水曜 22:30 更新,2022年4月6日
2022-04-13,,配信,,ニコニコチャンネル[41],水曜 0:00（火曜深夜） 更新,2022年4月13日
2022-04-13,,配信,,ABEMA[42],水曜 0:00 - 0:30（火曜深夜）,2022年4月13日
2022-04-13,,配信,,ニコニコ生放送[41],水曜 21:30 - 22:00,2022年4月13日
2022-04-13,,配信,,Amazon Prime Video,水曜 22:30 以降順次更新,2022年4月13日以降順次
2022-04-13,,配信,,FOD,水曜 22:30 以降順次更新,2022年4月13日以降順次
2022-04-13,,配信,,GYAO!,水曜 22:30 以降順次更新,2022年4月13日以降順次
2022-04-13,,配信,,Hulu,水曜 22:30 以降順次更新,2022年4月13日以降順次
2022-04-13,,配信,,J:COMオンデマンド,水曜 22:30 以降順次更新,2022年4月13日以降順次
2022-04-13,,配信,,Netflix,水曜 22:30 以降順次更新,2022年4月13日以降順次
2022-04-13,,配信,,TELASA,水曜 22:30 以降順次更新,2022年4月13日以降順次
2022-04-13,,配信,,U-NEXT,水曜 22:30 以降順次更新,2022年4月13日以降順次
2022-04-13,,配信,,アニメ放題,水曜 22:30 以降順次更新,2022年4月13日以降順次
2022-04-13,,配信,,auスマートパスプレミアム,水曜 22:30 以降順次更新,2022年4月13日以降順次
2022-04-13,,配信,,ひかりTV,水曜 22:30 以降順次更新,2022年4月13日以降順次
2022-04-13,,配信,,バンダイチャンネル,水曜 22:30 以降順次更新,2022年4月13日以降順次
2022-04-13,,配信,,みるプラス,水曜 22:30 以降順次更新,2022年4月13日以降順次
2022-04-13,,配信,,DMM.com,水曜 22:30 以降順次更新,2022年4月13日以降順次
2022-04-13,,配信,,HAPPY!動画,水曜 22:30 以降順次更新,2022年4月13日以降順次
2022-04-13,,配信,,Rakuten TV,水曜 22:30 以降順次更新,2022年4月13日以降順次
2022-04-13,,配信,,ビデオマーケット,水曜 22:30 以降順次更新,2022年4月13日以降順次
