期間,時間,放送局,対象地域,備考,タイプ,配信サイト,開始,終了
2020年10月7日 - 12月23日,水曜 21:00 - 21:30,AT-X,日本全域,製作参加 / CS放送 / リピート放送あり,放送,,2020-10-07,2020-12-23
2020年10月7日 - 12月23日,水曜 23:30 - 木曜 0:00,TOKYO MX,東京都,製作参加,放送,,2020-10-07,2020-12-23
2020年10月8日 - 12月24日,木曜 1:00 - 1:30（水曜深夜）,BS11,日本全域,BS放送 / 『ANIME+』枠,放送,,2020-10-08,2020-12-24
2020年10月9日 - 12月25日,金曜 1:00 - 1:30（木曜深夜）,サンテレビ,兵庫県,,放送,,2020-10-09,2020-12-25
2020年10月10日 - 12月26日,土曜 1:00 - 1:30（金曜深夜）,KBS京都,京都府,,放送,,2020-10-10,2020-12-26
2020年10月7日,水曜 23:30 - 木曜 0:00,,,,配信,ABEMA,2020-10-07,
2020年10月10日,土曜 23:30 更新,,,,配信,dアニメストア,2020-10-10,
2020年10月12日以降,不明,,,,配信,niconico,2020-10-12,
2020年10月12日以降,不明,,,,配信,GYAO!,2020-10-12,
2020年10月12日以降,不明,,,,配信,ひかりTV,2020-10-12,
2020年10月12日以降,不明,,,,配信,バンダイチャンネル,2020-10-12,
2020年10月12日以降,不明,,,,配信,Hulu,2020-10-12,
2020年10月12日以降,不明,,,,配信,J:COMオンデマンド,2020-10-12,
2020年10月12日以降,不明,,,,配信,TELASA,2020-10-12,
2020年10月12日以降,不明,,,,配信,U-NEXT,2020-10-12,
2020年10月12日以降,不明,,,,配信,アニメ放題,2020-10-12,
2020年10月12日以降,不明,,,,配信,あにてれ,2020-10-12,
2020年10月12日以降,不明,,,,配信,Amazonプライム・ビデオ,2020-10-12,
2020年10月12日以降,不明,,,,配信,Rakuten TV,2020-10-12,
2020年10月12日以降,不明,,,,配信,DMM.com,2020-10-12,
2020年10月12日以降,不明,,,,配信,ビデオマーケット,2020-10-12,
2020年10月12日以降,不明,,,,配信,HAPPY!動画,2020-10-12,
2020年10月12日以降,不明,,,,配信,ムービーフルplus,2020-10-12,
2023年4月3日 -,月曜 22:00 - 22:30,AT-X,日本全域,CS放送 / 字幕放送[96] / リピート放送あり,放送,,2023-04-03,
2023年4月3日 -,月曜 22:30 - 23:00,TOKYO MX,東京都,,放送,,2023-04-03,
2023年4月4日 -,火曜 0:00 - 0:30（月曜深夜）,KBS京都,京都府,,放送,,2023-04-04,
2023年4月4日 -,火曜 0:00 - 0:30（月曜深夜）,サンテレビ,兵庫県,,放送,,2023-04-04,
2023年4月4日 -,火曜 1:00 - 1:30（月曜深夜）,BS11,日本全域,BS放送 / 『ANIME+』枠,放送,,2023-04-04,
